id,наименование,ссылка,"регулярная цена, руб.","промо цена, руб.",бренд
227574,"Сыр Laplandia Легкий 17%, 120г",https://online.metro-cc.ru/products/120g-syr-lyogkiy-17-laplandia-narezka-bzmzh,209,159,LAPLANDIA
204107,"Сыр Viola российский кусок 50%, 350г",https://online.metro-cc.ru/products/350g-syr-50-viola-rossiyskiy-kusok-bzmzh,409,нет скидки,VIOLA
118454,"Сыр Unagrande Кремчиз мягкий 70%, 200г",https://online.metro-cc.ru/products/200g-70-kremchiz-unagrande-bzmzh,239,нет скидки,UNAGRANDE
664570,"Сыр Ларец Три перца 50%, ~1кг",https://online.metro-cc.ru/products/50-tri-perca-larec-1kg-bzmzh,999,нет скидки,ЛАРЕЦ
482221,"Сыр Bonfesto Моцарелла mini мягкий 45%, 100г",https://online.metro-cc.ru/products/mocarella-bonfesto-mini-100g-bzmzh,125,нет скидки,BONFESTO
118518,"Сыр Schonfeld Тильзитер полутвердый нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-45-tilziter-schonfeld-bzmzh,153,нет скидки,SCHONFELD
561791,"Сыр плавленый Viola с лисичками 50%, 400г",https://online.metro-cc.ru/products/valio-viola-s-lisichkami-400g-bzmzh,329,нет скидки,VIOLA
116723,"Сыр творожный Заботливая Хозяйка сливочный 60%, 1кг",https://online.metro-cc.ru/products/1kg-syr-60-zabotlivaya-hozyajka-tvorozhnyj-bzmzh,609,нет скидки,ЗАБОТЛИВАЯ ХОЗЯЙКА
79851,"Сыр Hochland Professional мягкий в рассоле 45%, 480г",https://online.metro-cc.ru/products/art_79851,299,нет скидки,HOCHLAND
93976,"Сыр Cheese Gallery Маасдам нарезка 45%, 125г",https://online.metro-cc.ru/products/cheese-gallery-maasdam-nareznoj-bez-zamenitelya-molochnogo-zhira-120-g,239,нет скидки,CHEESE GALLERY
93209,"METRO Chef Сыр Блю Чиз крошка 56%, 500г",https://online.metro-cc.ru/products/art_93209,999,нет скидки,METRO CHEF
115822,"Сыр Ларец полутвердый с чили и паприкой 50%, 125г",https://online.metro-cc.ru/products/125g-syr-50-larec-chili-paprika-nar-bzmzh,207,нет скидки,ЛАРЕЦ
254052,"Сыр плавленый President с грибами, 400г",https://online.metro-cc.ru/products/art_254052,294,нет скидки,PRESIDENT
406479,"Сыр Киприно Сливочный полутвердый 50%, ~1.5кг",https://online.metro-cc.ru/products/kiprino-slivochnyj-bzmzh,979,нет скидки,КИПРИНО
110259,"Сыр Unagrande Моцарелла безлактозный мягкий 45%, 280г",https://online.metro-cc.ru/products/mocarella-bezlaktoznyj-unagrande-45-280g-bzmzh,339,нет скидки,UNAGRANDE
254051,"Сыр плавленый President с ветчиной, 400г",https://online.metro-cc.ru/products/art_254051,294,нет скидки,PRESIDENT
68868,"METRO Chef Сыр Пармезан кусок 32%, ~1кг",https://online.metro-cc.ru/products/parmezan-32-metro-chef,1 619,нет скидки,METRO CHEF
228623,"Сыр Сваля легкий нарезка 35%, 150г",https://online.metro-cc.ru/products/150g-syr-legkiy-35-svalya-narezka-bzmzh,239,нет скидки,СВАЛЯ
95339,"Сыр Киприно Швейцарский нарезка 50%, 125г",https://online.metro-cc.ru/products/shvejcarskij-kiprino-50-125-g-narezka-bzmzh,189,нет скидки,КИПРИНО
98464,"Сыр La Paulina Чеддер полутвердый 48%, 400г",https://online.metro-cc.ru/products/la-paulina-chedder-48-bzmzh-400-g,509,нет скидки,LA PAULINA
216732,"Сыр Viola плавленный грибной жульен 35%, 400г",https://online.metro-cc.ru/products/syr-viola-plavlennyy-gribnoy-zhulen-35-400g,329,нет скидки,VIOLA
205327,"Сыр Киприно Советский 50%, 200г",https://online.metro-cc.ru/products/200g-syr-50-kiprino-sovetskiy-bzmzh,289,нет скидки,КИПРИНО
593834,"Сыр Le Superbe Sbrinz твердый 47%, 195г",https://online.metro-cc.ru/products/lustenberger-sbrinc-195-g-bzmzh,829,нет скидки,LE SUPERBE
208688,"Сыр Умалат брынза классический 45%, 200г",https://online.metro-cc.ru/products/200g-syr-brynza-45-umalat-klassicheskaya-bzmzh,197,нет скидки,УМАЛАТ
119940,"METRO Chef Сыр Пармезан сухой 32%, 100г",https://online.metro-cc.ru/products/metro-chef-parmezan-suhoj-32-100g-bzmzh,399,нет скидки,METRO CHEF
663844,"Сыр плавленый President Creme De Camembert, 125г",https://online.metro-cc.ru/products/president-creme-de-camembert-125g-bzmzh,202,134,PRESIDENT
211646,"Сыр Кабош Levenkaas 45%, 180г",https://online.metro-cc.ru/products/180g-syr-45-kabosh-levenkaas-bzmzh,329,нет скидки,КАБОШ
32228,"Сыр Долголетие Кавказский 45%, 300г",https://online.metro-cc.ru/products/dolgoletie-45-300g,292,229,ДОЛГОЛЕТИЕ
425298,"Сыр Mlekara Sabac Сербская брынза мягкий 45%, 1050г",https://online.metro-cc.ru/products/mlekara-sabac-serbskaya-950g-bzmzh,799,нет скидки,MLEKARA SABAC
526257,"Сыр Galbani Боккончини Моцарелла 45% 8 шариков по 25г, 200г",https://online.metro-cc.ru/products/galbani-mocarella-45-200g-8-sharikov-po-25g-bzmzh,309,нет скидки,GALBANI
117580,"Сыр Радость вкуса Львиное сердце 45%, 200г",https://online.metro-cc.ru/products/lvinoe-serdce-radost-vkusa-45-200g-bzmzh,209,нет скидки,РАДОСТЬ ВКУСА
225643,"METRO Chef Сыр Чечил-спагетти 45%, 500г",https://online.metro-cc.ru/products/500g-syr-chechil-spagetti-45-metro-chef-bzmzh,519,нет скидки,METRO CHEF
129255,"Сыр Сернурский СЗ Халумис 50%, 200г",https://online.metro-cc.ru/products/sernurskij-halumis-50-200g-bzmzh,279,нет скидки,СЕРНУРСКИЙ СЗ
88548,"Сыр Сваля полутвердый 45%, 400г",https://online.metro-cc.ru/products/fasovannyj-svalya-400g-bzmzh,499,нет скидки,СВАЛЯ
213553,"Сыр мягкий Natura Pro сливочный 65%, 2кг",https://online.metro-cc.ru/products/2kg-syr-myagkiy-65-natura-pro-slivochnyy-bzmzh,1 208,нет скидки,NATURA PRO
89378,"Сыр Сваля легкий фасованный, 200г",https://online.metro-cc.ru/products/svalya-legkij-fasovannyj-200g-bzmzh,249,нет скидки,СВАЛЯ
36834,"Сыр Galbani Моцарелла Tris 45%, 375г",https://online.metro-cc.ru/products/mocarella-galbani-tris-375g-bzmzh,499,нет скидки,GALBANI
